zip_code,state_code,state_name,city,time_zone
36533,AL,Alabama,Fairhope,America/Chicago
36535,AL,Alabama,Foley,America/Chicago
36536,AL,Alabama,Foley,America/Chicago
36542,AL,Alabama,Gulf Shores,America/Chicago
36547,AL,Alabama,Gulf Shores,America/Chicago
36549,AL,Alabama,Lillian,America/Chicago
36550,AL,Alabama,Little River,America/Chicago
36551,AL,Alabama,Loxley,America/Chicago
36555,AL,Alabama,Magnolia Springs,America/Chicago
36559,AL,Alabama,Montrose,America/Chicago
36561,AL,Alabama,Orange Beach,America/Chicago
36562,AL,Alabama,Perdido,America/Chicago
36564,AL,Alabama,Point Clear,America/Chicago
36567,AL,Alabama,Robertsdale,America/Chicago
36574,AL,Alabama,Seminole,America/Chicago
36576,AL,Alabama,Silverhill,America/Chicago
36577,AL,Alabama,Spanish Fort,America/Chicago
36578,AL,Alabama,Stapleton,America/Chicago
36579,AL,Alabama,Stockton,America/Chicago
36580,AL,Alabama,Summerdale,America/Chicago
36004,AL,Alabama,Baker Hill,America/Chicago
36016,AL,Alabama,Clayton,America/Chicago
36017,AL,Alabama,Clio,America/Chicago
36027,AL,Alabama,Eufaula,America/Chicago
36048,AL,Alabama,Louisville,America/Chicago
36072,AL,Alabama,Eufaula,America/Chicago
35034,AL,Alabama,Brent,America/Chicago
35035,AL,Alabama,Brierfield,America/Chicago
35042,AL,Alabama,Centreville,America/Chicago
35074,AL,Alabama,Green Pond,America/Chicago
35184,AL,Alabama,West Blocton,America/Chicago
35188,AL,Alabama,Woodstock,America/Chicago
36792,AL,Alabama,Randolph,America/Chicago
36793,AL,Alabama,Lawley,America/Chicago
35013,AL,Alabama,Allgood,America/Chicago
35031,AL,Alabama,Blountsville,America/Chicago
35049,AL,Alabama,Cleveland,America/Chicago
35079,AL,Alabama,Hayden,America/Chicago
35097,AL,Alabama,Locust Fork,America/Chicago
35121,AL,Alabama,Oneonta,America/Chicago
35133,AL,Alabama,Remlap,America/Chicago
36029,AL,Alabama,Fitzpatrick,America/Chicago
36053,AL,Alabama,Midway,America/Chicago
36061,AL,Alabama,Perote,America/Chicago
36089,AL,Alabama,Union Springs,America/Chicago
36015,AL,Alabama,Chapman,America/Chicago
36030,AL,Alabama,Forest Home,America/Chicago
36033,AL,Alabama,Georgiana,America/Chicago
36037,AL,Alabama,Greenville,America/Chicago
36456,AL,Alabama,Mc Kenzie,America/Chicago
36201,AL,Alabama,Anniston,America/Chicago
36202,AL,Alabama,Anniston,America/Chicago
36203,AL,Alabama,Oxford,America/Chicago
36204,AL,Alabama,Anniston,America/Chicago
36205,AL,Alabama,Anniston,America/Chicago
36206,AL,Alabama,Anniston,America/Chicago
36207,AL,Alabama,Anniston,America/Chicago
36210,AL,Alabama,Anniston,America/Chicago
36250,AL,Alabama,Alexandria,America/Chicago
36253,AL,Alabama,Bynum,America/Chicago
36254,AL,Alabama,Choccolocco,America/Chicago
36257,AL,Alabama,De Armanville,America/Chicago
36260,AL,Alabama,Eastaboga,America/Chicago
36265,AL,Alabama,Jacksonville,America/Chicago
36271,AL,Alabama,Ohatchee,America/Chicago
36272,AL,Alabama,Piedmont,America/Chicago
36277,AL,Alabama,Weaver,America/Chicago
36279,AL,Alabama,Wellington,America/Chicago
36852,AL,Alabama,Cusseta,America/Chicago
36854,AL,Alabama,Valley,America/Chicago
36855,AL,Alabama,Five Points,America/Chicago
36862,AL,Alabama,Lafayette,America/Chicago
36863,AL,Alabama,Lanett,America/Chicago
35959,AL,Alabama,Cedar Bluff,America/Chicago
35960,AL,Alabama,Centre,America/Chicago
35973,AL,Alabama,Gaylesville,America/Chicago
35983,AL,Alabama,Leesburg,America/Chicago
36275,AL,Alabama,Spring Garden,America/Chicago
35045,AL,Alabama,Clanton,America/Chicago
35046,AL,Alabama,Clanton,America/Chicago
35085,AL,Alabama,Jemison,America/Chicago
35171,AL,Alabama,Thorsby,America/Chicago
36091,AL,Alabama,Verbena,America/Chicago
36750,AL,Alabama,Maplesville,America/Chicago
36790,AL,Alabama,Stanton,America/Chicago
36903,AL,Alabama,Butler,America/Chicago
36904,AL,Alabama,Butler,America/Chicago
36906,AL,Alabama,Cromwell,America/Chicago
36908,AL,Alabama,Gilbertown,America/Chicago
36910,AL,Alabama,Jachin,America/Chicago
36911,AL,Alabama,Lavaca,America/Chicago
36912,AL,Alabama,Lisman,America/Chicago
36913,AL,Alabama,Melvin,America/Chicago
36915,AL,Alabama,Needham,America/Chicago
36916,AL,Alabama,Pennington,America/Chicago
36919,AL,Alabama,Silas,America/Chicago
36921,AL,Alabama,Toxey,America/Chicago
36922,AL,Alabama,Ward,America/Chicago
36436,AL,Alabama,Dickinson,America/Chicago
36446,AL,Alabama,Fulton,America/Chicago
36451,AL,Alabama,Grove Hill,America/Chicago
36482,AL,Alabama,Whatley,America/Chicago
36501,AL,Alabama,Alma,America/Chicago
36515,AL,Alabama,Carlton,America/Chicago
36524,AL,Alabama,Coffeeville,America/Chicago
36540,AL,Alabama,Gainestown,America/Chicago
36545,AL,Alabama,Jackson,America/Chicago
36570,AL,Alabama,Salitpa,America/Chicago
36586,AL,Alabama,Walker Springs,America/Chicago
36727,AL,Alabama,Campbell,America/Chicago
36762,AL,Alabama,Morvin,America/Chicago
36784,AL,Alabama,Thomasville,America/Chicago
35082,AL,Alabama,Hollins,America/Chicago
36251,AL,Alabama,Ashland,America/Chicago
36255,AL,Alabama,Cragford,America/Chicago
36258,AL,Alabama,Delta,America/Chicago
36266,AL,Alabama,Lineville,America/Chicago
36267,AL,Alabama,Millerville,America/Chicago
36261,AL,Alabama,Edwardsville,America/Chicago
36262,AL,Alabama,Fruithurst,America/Chicago
36264,AL,Alabama,Heflin,America/Chicago
36269,AL,Alabama,Muscadine,America/Chicago
36273,AL,Alabama,Ranburne,America/Chicago
36323,AL,Alabama,Elba,America/Chicago
36330,AL,Alabama,Enterprise,America/Chicago
36331,AL,Alabama,Enterprise,America/Chicago
36346,AL,Alabama,Jack,America/Chicago
36351,AL,Alabama,New Brockton,America/Chicago
36453,AL,Alabama,Kinston,America/Chicago
35616,AL,Alabama,Cherokee,America/Chicago
35646,AL,Alabama,Leighton,America/Chicago
35660,AL,Alabama,Sheffield,America/Chicago
35661,AL,Alabama,Muscle Shoals,America/Chicago
35662,AL,Alabama,Muscle Shoals,America/Chicago
35674,AL,Alabama,Tuscumbia,America/Chicago
36401,AL,Alabama,Evergreen,America/Chicago
36429,AL,Alabama,Brooklyn,America/Chicago
36432,AL,Alabama,Castleberry,America/Chicago
36454,AL,Alabama,Lenox,America/Chicago
36473,AL,Alabama,Range,America/Chicago
36475,AL,Alabama,Repton,America/Chicago
35072,AL,Alabama,Goodwater,America/Chicago
35089,AL,Alabama,Kellyton,America/Chicago
35136,AL,Alabama,Rockford,America/Chicago
35183,AL,Alabama,Weogufka,America/Chicago
36026,AL,Alabama,Equality,America/Chicago
36038,AL,Alabama,Gantt,America/Chicago
36420,AL,Alabama,Andalusia,America/Chicago
36442,AL,Alabama,Florala,America/Chicago
36455,AL,Alabama,Lockhart,America/Chicago
36467,AL,Alabama,Opp,America/Chicago
36474,AL,Alabama,Red Level,America/Chicago
36476,AL,Alabama,River Falls,America/Chicago
36483,AL,Alabama,Wing,America/Chicago
36009,AL,Alabama,Brantley,America/Chicago
36028,AL,Alabama,Dozier,America/Chicago
36034,AL,Alabama,Glenwood,America/Chicago
36041,AL,Alabama,Highland Home,America/Chicago
36042,AL,Alabama,Honoraville,America/Chicago
36049,AL,Alabama,Luverne,America/Chicago
36062,AL,Alabama,Petrey,America/Chicago
36071,AL,Alabama,Rutledge,America/Chicago
35019,AL,Alabama,Baileyton,America/Chicago
35033,AL,Alabama,Bremen,America/Chicago
35053,AL,Alabama,Crane Hill,America/Chicago
35055,AL,Alabama,Cullman,America/Chicago
35056,AL,Alabama,Cullman,America/Chicago
35057,AL,Alabama,Cullman,America/Chicago
35058,AL,Alabama,Cullman,America/Chicago
35070,AL,Alabama,Garden City,America/Chicago
35077,AL,Alabama,Hanceville,America/Chicago
35083,AL,Alabama,Holly Pond,America/Chicago
35087,AL,Alabama,Joppa,America/Chicago
35098,AL,Alabama,Logan,America/Chicago
35179,AL,Alabama,Vinemont,America/Chicago
36311,AL,Alabama,Ariton,America/Chicago
36317,AL,Alabama,Clopton,America/Chicago
36322,AL,Alabama,Daleville,America/Chicago
36350,AL,Alabama,Midland City,America/Chicago
36352,AL,Alabama,Newton,America/Chicago
36360,AL,Alabama,Ozark,America/Chicago
36361,AL,Alabama,Ozark,America/Chicago
36362,AL,Alabama,Fort Rucker,America/Chicago
36371,AL,Alabama,Pinckard,America/Chicago
36374,AL,Alabama,Skipperville,America/Chicago
36701,AL,Alabama,Selma,America/Chicago
36702,AL,Alabama,Selma,America/Chicago
36703,AL,Alabama,Selma,America/Chicago
36758,AL,Alabama,Plantersville,America/Chicago
36759,AL,Alabama,Marion Junction,America/Chicago
36761,AL,Alabama,Minter,America/Chicago
36767,AL,Alabama,Orrville,America/Chicago
36771,AL,Alabama,Prairie,America/Chicago
36773,AL,Alabama,Safford,America/Chicago
36775,AL,Alabama,Sardis,America/Chicago
36785,AL,Alabama,Tyler,America/Chicago
35961,AL,Alabama,Collinsville,America/Chicago
35962,AL,Alabama,Crossville,America/Chicago
35963,AL,Alabama,Dawson,America/Chicago
35967,AL,Alabama,Fort Payne,America/Chicago
35968,AL,Alabama,Fort Payne,America/Chicago
35971,AL,Alabama,Fyffe,America/Chicago
35974,AL,Alabama,Geraldine,America/Chicago
35975,AL,Alabama,Groveoak,America/Chicago
35978,AL,Alabama,Henagar,America/Chicago
35981,AL,Alabama,Ider,America/Chicago
35984,AL,Alabama,Mentone,America/Chicago
35986,AL,Alabama,Rainsville,America/Chicago
35988,AL,Alabama,Sylvania,America/Chicago
35989,AL,Alabama,Valley Head,America/Chicago
36020,AL,Alabama,Coosada,America/Chicago
36022,AL,Alabama,Deatsville,America/Chicago
36024,AL,Alabama,Eclectic,America/Chicago
36025,AL,Alabama,Elmore,America/Chicago
36045,AL,Alabama,Kent,America/Chicago
36054,AL,Alabama,Millbrook,America/Chicago
36078,AL,Alabama,Tallassee,America/Chicago
36080,AL,Alabama,Titus,America/Chicago
36092,AL,Alabama,Wetumpka,America/Chicago
36093,AL,Alabama,Wetumpka,America/Chicago
36426,AL,Alabama,Brewton,America/Chicago
36427,AL,Alabama,Brewton,America/Chicago
36441,AL,Alabama,Flomaton,America/Chicago
36502,AL,Alabama,Atmore,America/Chicago
36503,AL,Alabama,Atmore,America/Chicago
36504,AL,Alabama,Atmore,America/Chicago
36543,AL,Alabama,Huxford,America/Chicago
35901,AL,Alabama,Gadsden,America/Chicago
35902,AL,Alabama,Gadsden,America/Chicago
35903,AL,Alabama,Gadsden,America/Chicago
35904,AL,Alabama,Gadsden,America/Chicago
35905,AL,Alabama,Gadsden,America/Chicago
35906,AL,Alabama,Rainbow City,America/Chicago
35907,AL,Alabama,Gadsden,America/Chicago
35952,AL,Alabama,Altoona,America/Chicago
35954,AL,Alabama,Attalla,America/Chicago
35972,AL,Alabama,Gallant,America/Chicago
35990,AL,Alabama,Walnut Grove,America/Chicago
35999,AL,Alabama,Gadsden,America/Chicago
35542,AL,Alabama,Bankston,America/Chicago
35545,AL,Alabama,Belk,America/Chicago
35546,AL,Alabama,Berry,America/Chicago
35555,AL,Alabama,Fayette,America/Chicago
35559,AL,Alabama,Glen Allen,America/Chicago
35571,AL,Alabama,Hodges,America/Chicago
35581,AL,Alabama,Phil Campbell,America/Chicago
35582,AL,Alabama,Red Bay,America/Chicago
35585,AL,Alabama,Spruce Pine,America/Chicago
35593,AL,Alabama,Vina,America/Chicago
35653,AL,Alabama,Russellville,America/Chicago
35654,AL,Alabama,Russellville,America/Chicago
36136,AL,Alabama,Montgomery,America/Chicago
36313,AL,Alabama,Bellwood,America/Chicago
36314,AL,Alabama,Black,America/Chicago
36316,AL,Alabama,Chancellor,America/Chicago
36318,AL,Alabama,Coffee Springs,America/Chicago
36340,AL,Alabama,Geneva,America/Chicago
36344,AL,Alabama,Hartford,America/Chicago
36349,AL,Alabama,Malvern,America/Chicago
36375,AL,Alabama,Slocomb,America/Chicago
36477,AL,Alabama,Samson,America/Chicago
35443,AL,Alabama,Boligee,America/Chicago
35448,AL,Alabama,Clinton,America/Chicago
35462,AL,Alabama,Eutaw,America/Chicago
35469,AL,Alabama,Knoxville,America/Chicago
35491,AL,Alabama,West Greene,America/Chicago
36740,AL,Alabama,Forkland,America/Chicago
35441,AL,Alabama,Akron,America/Chicago
35474,AL,Alabama,Moundville,America/Chicago
36742,AL,Alabama,Gallion,America/Chicago
36744,AL,Alabama,Greensboro,America/Chicago
36765,AL,Alabama,Newbern,America/Chicago
36776,AL,Alabama,Sawyerville,America/Chicago
36310,AL,Alabama,Abbeville,America/Chicago
36345,AL,Alabama,Headland,America/Chicago
36353,AL,Alabama,Newville,America/Chicago
36373,AL,Alabama,Shorterville,America/Chicago
36301,AL,Alabama,Dothan,America/Chicago
36302,AL,Alabama,Dothan,America/Chicago
36303,AL,Alabama,Dothan,America/Chicago
36304,AL,Alabama,Dothan,America/Chicago
36305,AL,Alabama,Dothan,America/Chicago
36312,AL,Alabama,Ashford,America/Chicago
36319,AL,Alabama,Columbia,America/Chicago
36320,AL,Alabama,Cottonwood,America/Chicago
